ImportError,ThirdPartyRefNo,ThirdPartySource,ThirdPartyIconUrl,ThirdPartyDisplayName,SaleStoreName,StoreName,CurrencyCode,CustomerName,CustomerFirstName,CustomerLastName,CustomerMainPhone,CustomerEmailMain,CustomerPO,CustomerId,CustomerAccountNumber,OrderDate,DateToBeShipped,LastDateToBeShipped,DateToBeCancelled,OrderClassCode,OrderClassName,OrderTypeCode,OrderTypeName,ExchangeRate,Memo,PaymentTermsName,PaymentTermsType,DepositRequiredTypeName,DepositRequiredAmount,ItemNumber,ItemDescription,UnitPrice,Qty,LineTotal,DiscountAmount,DiscountPercent,TaxAmount,TaxPercent,CustomFieldD1,CustomFieldD2
,156488621,Whole Foods,,Whole Foods,IDI - Richmond,IDI - Richmond,USD,WHOLE FOODS #10467 FREMONT,,,,,156488621,,,2025-09-24,2025-09-25,2025-09-25,,,,,,1.0,Imported from Whole Foods - File: 156488621.html,,,,0.0,13-025-9,Bonne Maman Blackberry Preserve 6/13oz,29.22,1,29.22,0.0,0.0,0.0,0.0,29.22,
,156488621,Whole Foods,,Whole Foods,IDI - Richmond,IDI - Richmond,USD,WHOLE FOODS #10467 FREMONT,,,,,156488621,,,2025-09-24,2025-09-25,2025-09-25,,,,,,1.0,Imported from Whole Foods - File: 156488621.html,,,,0.0,13-025-2,Bonne Maman Strawberry Preserve 6/13oz,29.22,2,58.44,0.0,0.0,0.0,0.0,29.22,
,156488621,Whole Foods,,Whole Foods,IDI - Richmond,IDI - Richmond,USD,WHOLE FOODS #10467 FREMONT,,,,,156488621,,,2025-09-24,2025-09-25,2025-09-25,,,,,,1.0,Imported from Whole Foods - File: 156488621.html,,,,0.0,13-025-23,Whole Foods Item 13-025-23,31.36,2,62.72,0.0,0.0,0.0,0.0,31.36,
,156488621,Whole Foods,,Whole Foods,IDI - Richmond,IDI - Richmond,USD,WHOLE FOODS #10467 FREMONT,,,,,156488621,,,2025-09-24,2025-09-25,2025-09-25,,,,,,1.0,Imported from Whole Foods - File: 156488621.html,,,,0.0,13-025-17,Bonne Maman Apricot-Raspberry Preserve 6/13oz,29.22,1,29.22,0.0,0.0,0.0,0.0,29.22,
,156488621,Whole Foods,,Whole Foods,IDI - Richmond,IDI - Richmond,USD,WHOLE FOODS #10467 FREMONT,,,,,156488621,,,2025-09-24,2025-09-25,2025-09-25,,,,,,1.0,Imported from Whole Foods - File: 156488621.html,,,,0.0,13-025-5,Bonne Maman Orange Marmalade 6/13oz,29.22,1,29.22,0.0,0.0,0.0,0.0,29.22,
,156488621,Whole Foods,,Whole Foods,IDI - Richmond,IDI - Richmond,USD,WHOLE FOODS #10467 FREMONT,,,,,156488621,,,2025-09-24,2025-09-25,2025-09-25,,,,,,1.0,Imported from Whole Foods - File: 156488621.html,,,,0.0,13-025-24,Bonne Maman Pineapple Passionfruit 6/13oz,29.22,1,29.22,0.0,0.0,0.0,0.0,29.22,
,156488621,Whole Foods,,Whole Foods,IDI - Richmond,IDI - Richmond,USD,WHOLE FOODS #10467 FREMONT,,,,,156488621,,,2025-09-24,2025-09-25,2025-09-25,,,,,,1.0,Imported from Whole Foods - File: 156488621.html,,,,0.0,13-025-6,Bonne Maman Raspberry Preserve 6/13oz,29.22,1,29.22,0.0,0.0,0.0,0.0,29.22,
,156488621,Whole Foods,,Whole Foods,IDI - Richmond,IDI - Richmond,USD,WHOLE FOODS #10467 FREMONT,,,,,156488621,,,2025-09-24,2025-09-25,2025-09-25,,,,,,1.0,Imported from Whole Foods - File: 156488621.html,,,,0.0,13-025-15,Bonne Maman Mixed Berries Preserve 6/13oz,29.22,1,29.22,0.0,0.0,0.0,0.0,29.22,
,156488621,Whole Foods,,Whole Foods,IDI - Richmond,IDI - Richmond,USD,WHOLE FOODS #10467 FREMONT,,,,,156488621,,,2025-09-24,2025-09-25,2025-09-25,,,,,,1.0,Imported from Whole Foods - File: 156488621.html,,,,0.0,13-025-8,Bonne Maman Four Fruits Preserve 6/13oz,29.22,1,29.22,0.0,0.0,0.0,0.0,29.22,
,156488621,Whole Foods,,Whole Foods,IDI - Richmond,IDI - Richmond,USD,WHOLE FOODS #10467 FREMONT,,,,,156488621,,,2025-09-24,2025-09-25,2025-09-25,,,,,,1.0,Imported from Whole Foods - File: 156488621.html,,,,0.0,13-025-7,Bonne Maman Wild Blueberry Preserve 6/13oz,29.22,1,29.22,0.0,0.0,0.0,0.0,29.22,
