"KeHE Number","ItemNumber","Description","UPC"
"00110368","17-041-1","BRUSCHETTA ARTICHOKE","728119098687"
"02313478","12-006-2","DATES MLK CHOC ALMD STFD","728119515061"
"00308376","8-400-1","FARRO MEAL GRLD VEG  HERB","728119472005"
"00308378","8-400-3","FARRO ML ARTKE LMN RST GC","728119472029"
"02207887","8-501","MEAL JACKFRT SWT BBQ PRK","728119516310"
"02302575","17-202","MEAL PASTA PRIMAVERA HOP","728119515917"
"00129178","8-200-1","QUINOA MEAL ARTCHK & RDST","728119400008"
"00129170","8-200-3","QUINOA MEAL MANG RST PEPR","728119400022"
"02302579","17-203","RICE VEGGIE HOP STIR FRY","728119515924"
"00256821","7-406","C&A Potato Gnocchi 10/14.1oz","7-28119-09800-7"
"00110366","17-041-1","C&A Basil Genovese Pesto Sauce 6/7.9oz","7-28119-09844-1"
"00110367","17-041-2","C&A Artichoke Lemon Pesto Sauce 6/7.9oz","7-28119-09846-5"
"00299368","17-041-4","C&A Sun-Dried Tomato Pesto 6/7.9oz","7-28119-09849-6"
"00334790","17-041-7","C&A Sun-Dried Tomato Bruschetta 6/7.9oz","7-28119-09863-2"
"00110368","17-041-1","C&A Artichoke Bruschetta 6/7.9oz","7-28119-09868-7"
"00110374","17-041-2","C&A Red Pepper & Artichoke Bruschetta 6/7.9oz","7-28119-09882-3"
"00256164","17-041-6","C&A Olive Bruschetta 6/7.9oz","7-28119-09883-0"
"00110376","17-051-1","C&A Grd Art Marinara, Grd Artichokes 6/14.5oz","7-28119-09890-8"
"00110377","17-051-2","C&A Grilled Marin Whole Artichokes 6/14.5oz","7-28119-09891-5"
"00110380","3-021","C&A Balsamic Vinegar, High Density 6/8.5oz","7-28119-09946-2"
"00110383","3-047","C&A Balsamic Vinegar igp 6/16.9oz","7-28119-09948-6"
"00110386","17-003-2","C&A Puttanesca Pasta Sauce 6/16.8oz","7-28119-19870-7"
"00110389","17-003-4","C&A Tomato W/Cheese Pasta Sauce 6/16.8oz","7-28119-19871-4"
"00110390","17-003-1","C&A Tomato W/Basil Pasta Sauce 6/16.8oz","7-28119-19872-1"
"00110391","17-003-3","C&A Arrabbiata Pasta Sauce 6/16.8oz","7-28119-19873-8"
"00129173","17-043-1","C&A Tricolor Jalapenos 6/16.5oz","7-28119-26500-3"
"00267772","8-100-3","C&A Couscous 8/17.6oz","7-28119-43002-9"
"00267774","8-100-4","C&A Farro 8/17.6oz","7-28119-43003-6"
"00267775","8-100-5","C&A Instant Polenta 8/17.6oz","7-28119-43004-3"
"00267778","8-100-6","C&A Arborio Rice 8/17.6oz","7-28119-43005-0"
"00295340","8-100-9","C&A Minestrone Soup Mix 8/17.6oz","7-28119-43008-1"
"00295339","8-100-10","C&A Bean Soup Mix 8/17.6oz","7-28119-43009-8"
"00318527","3-005","C&A Grape Seed Oil 6/25.3oz","7-28119-44102-6"
"00295356","7-210-71","C&A Organic Penne Rigate 7/1.12/16oz","7-28119-45000-3"
"00295353","7-210-42","C&A Organic Elbows #42 12/16oz","7-28119-45001-0"
"00295355","7-210-50","C&A Organic Casarecce #50 12/16oz","7-28119-45002-7"
"00295351","7-210-66","C&A Organic Fusilli #66 12/16oz","7-28119-45003-4"
"00295354","7-210-22","C&A Organic Farfalle #22 12/16oz","7-28119-45004-1"
"00295357","7-210-73","C&A Organic Penne Lisce #73 12/16oz","7-28119-45005-8"
"00295352","7-210-70","C&A Organic Rigatoni #70 12/16oz","7-28119-45006-5"
"00295350","7-210-28","C&A Organic Gemelli #28 12/16oz","7-28119-45007-2"
"00110372","17-041-3","C&A Artichoke & Sun-Dried Tomato Pesto 6/7.9oz","7-28119-09845-8"
"00110375","17-041-5","C&A Sun-Dried Tomato & Basil Pesto 6/7.9oz","7-28119-09862-5"
"00110378","17-051-3","C&A Artichoke Hearts Marinated 6/14.5oz","7-28119-09892-2"
"00110379","17-051-4","C&A Artichoke Hearts Quartered 6/14.5oz","7-28119-09893-9"
"00110381","3-022","C&A Balsamic Vinegar of Modena IGP 6/16.9oz","7-28119-09947-9"
"00110382","3-023","C&A White Balsamic Vinegar 6/16.9oz","7-28119-09949-3"
"00110384","3-048","C&A Balsamic Glaze 6/8.45oz","7-28119-09950-9"
"00110385","3-049","C&A Fig Balsamic Glaze 6/8.45oz","7-28119-09951-6"
"00110387","17-003-5","C&A Roasted Red Pepper Pasta Sauce 6/16.8oz","7-28119-19874-5"
"00110388","17-003-6","C&A Roasted Garlic Pasta Sauce 6/16.8oz","7-28119-19875-2"
"00110392","17-003-7","C&A Spicy Arrabbiata Pasta Sauce 6/16.8oz","7-28119-19876-9"
"00110393","17-003-8","C&A Vodka Pasta Sauce 6/16.8oz","7-28119-19877-6"
"00110394","17-003-9","C&A Bolognese Pasta Sauce 6/16.8oz","7-28119-19878-3"
"00110395","17-003-10","C&A Cacio e Pepe Pasta Sauce 6/16.8oz","7-28119-19879-0"
"00110396","17-003-11","C&A Carbonara Pasta Sauce 6/16.8oz","7-28119-19880-6"
"00110397","17-003-12","C&A Amatriciana Pasta Sauce 6/16.8oz","7-28119-19881-3"
