Source,RawKeyType,RawKeyValue,MappedItemNumber,Vendor,MappedDescription,Priority,Active,Notes
kehe,vendor_item,256821.0,7-006,KEHE,C&A Potato Gnocchi 10/14.1oz,100,True,Migrated from CSV
kehe,vendor_item,110366.0,17-001-1,KEHE,C&A Basil Genovese Pesto Sauce 6/7.9oz,100,True,Migrated from CSV
kehe,vendor_item,110367.0,17-001-2,KEHE,C&A Artichoke Lemon Pesto Sauce 6/7.9oz,100,True,Migrated from CSV
kehe,vendor_item,269368.0,17-001-4,KEHE,C&A Sun-Dried Tomato Pesto 6/7.9oz,100,True,Migrated from CSV
kehe,vendor_item,334790.0,17-041-7,KEHE,C&A Sun-Dried Tomato Bruschetta 6/7.9oz,100,True,Migrated from CSV
kehe,vendor_item,110368.0,17-041-1,KEHE,C&A Artichoke Bruschetta 6/7.9oz,100,True,Migrated from CSV
kehe,vendor_item,110374.0,17-041-2,KEHE,C&A Red Pepper & Artichoke Bruschetta 6/7.9oz,100,True,Migrated from CSV
kehe,vendor_item,256166.0,17-041-6,KEHE,C&A Olive Bruschetta 6/7.9oz,100,True,Migrated from CSV
kehe,vendor_item,110376.0,17-051-1,KEHE,C&A Marin. Qrtd Artichokes 6/14.5oz,100,True,Migrated from CSV
kehe,vendor_item,110377.0,17-051-2,KEHE,C&A Grilled Marin. Whole Artichokes 6/14.5oz,100,True,Migrated from CSV
kehe,vendor_item,110380.0,3-021,KEHE,C&A Balsamic Vinegar- High Density 6/8.5oz,100,True,Migrated from CSV
kehe,vendor_item,110383.0,3-047,KEHE,C&A Balsamic Vinegar Igp 6/16.9oz,100,True,Migrated from CSV
kehe,vendor_item,110386.0,17-003-2,KEHE,C&A Puttanesca Pasta Sauce 6/16.8oz,100,True,Migrated from CSV
kehe,vendor_item,110389.0,17-003-4,KEHE,C&A Tomato W/Cheese Pasta Sauce 6/16.8oz,100,True,Migrated from CSV
kehe,vendor_item,110390.0,17-003-1,KEHE,C&A Tomato W/Basil Pasta Sauce 6/16.8oz,100,True,Migrated from CSV
kehe,vendor_item,110391.0,17-003-3,KEHE,C&A Arrabbiata Pasta Sauce 6/16.8oz,100,True,Migrated from CSV
kehe,vendor_item,129175.0,17-043-1,KEHE,C&A Tricolor Jalapenos 6/16.5oz,100,True,Migrated from CSV
kehe,vendor_item,267772.0,8-100-3,KEHE,C&A Couscous 8/17.6oz,100,True,Migrated from CSV
kehe,vendor_item,267774.0,8-100-4,KEHE,C&A Farro 8/17.6oz,100,True,Migrated from CSV
kehe,vendor_item,267776.0,8-100-5,KEHE,C&A Instant Polenta 8/17.6oz,100,True,Migrated from CSV
kehe,vendor_item,267778.0,8-100-6,KEHE,C&A Arborio Rice 8/17.6oz,100,True,Migrated from CSV
kehe,vendor_item,295340.0,8-100-9,KEHE,C&A Minestrone Soup Mix 8/17.6oz,100,True,Migrated from CSV
kehe,vendor_item,295339.0,8-100-10,KEHE,C&A Bean Soup Mix 8/17.6oz,100,True,Migrated from CSV
kehe,vendor_item,319677.0,3-005,KEHE,C&A Grape Seed Oil 6/25.3oz,100,True,Migrated from CSV
kehe,vendor_item,295356.0,7-210-71,KEHE,C&A Organic Penne Rigate #71 12/16oz,100,True,Migrated from CSV
kehe,vendor_item,295353.0,7-210-42,KEHE,C&A Organic Elbows #42 12/16oz,100,True,Migrated from CSV
kehe,vendor_item,295355.0,7-210-50,KEHE,C&A Organic Casarecce #50 12/16oz,100,True,Migrated from CSV
kehe,vendor_item,295351.0,7-210-66,KEHE,C&A Organic Fusilli #66 12/16oz,100,True,Migrated from CSV
kehe,vendor_item,295354.0,7-210-22,KEHE,C&A Organic Farfalle #22 12/16oz,100,True,Migrated from CSV
kehe,vendor_item,295347.0,7-210-82,KEHE,C&A Organic Spaghetti #82 20/16oz,100,True,Migrated from CSV
kehe,vendor_item,295348.0,7-210-91,KEHE,C&A Organic Linguine #91 20/16oz,100,True,Migrated from CSV
kehe,vendor_item,320966.0,12-002-1,KEHE,C&A Hazelnut Rolled Wafer 6/14.1oz,100,True,Migrated from CSV
kehe,vendor_item,320967.0,12-002-2,KEHE,C&A Chocolate Rolled Wafer 6/14.1oz,100,True,Migrated from CSV
kehe,vendor_item,320968.0,12-002-3,KEHE,C&A Lemon Rolled Wafer 6/14.1oz,100,True,Migrated from CSV
kehe,vendor_item,320969.0,12-002-4,KEHE,C&A Vanilla Rolled Wafer 6/14.1oz,100,True,Migrated from CSV
kehe,vendor_item,399223.0,12-002,KEHE,C&A Wafer Roll Shipper 36/14.1oz,100,True,Migrated from CSV
kehe,vendor_item,387166.0,17-001-5,KEHE,C&A Vegan Nut Free Basil Pesto Sauce 6/7.9oz,100,True,Migrated from CSV
kehe,vendor_item,273317.0,12-042,KEHE,K&L Passport Flatbread- Everything 6/13.3oz,100,True,Migrated from CSV
kehe,vendor_item,129178.0,8-200-1,KEHE,K&L Quinoa RTE Meal- Artichoke & Roasted Peppers 6/7.9oz,100,True,Migrated from CSV
