Source,RawKeyType,RawKeyValue,MappedItemNumber,Vendor,MappedDescription,Priority,Active,Notes
unfi_east,vendor_item,308305,12-002,UNFI,C&A Wafer Roll Shipper 36/14.1oz,100,TRUE,
unfi_east,vendor_item,244189,12-002-1,UNFI,C&A Hazelnut Rolled Wafer 6/14.1oz,100,TRUE,
unfi_east,vendor_item,244191,12-002-3,UNFI,C&A Lemon Rolled Wafer 6/14.1oz,100,TRUE,
unfi_east,vendor_item,244192,12-002-4,UNFI,C&A Vanilla Rolled Wafer 6/14.1oz,100,TRUE,
unfi_east,vendor_item,284676,12-006-1,UNFI,K&L Dark Choc Almond Stuffed Dates 8/3.5oz,100,TRUE,
unfi_east,vendor_item,301111,12-006-2,UNFI,K&L Milk Choc Almond Stuffed Dates 8/3.5oz,100,TRUE,
unfi_east,vendor_item,301112,12-006-3,UNFI,K&L Assorted (Milk/Dark/White) Choc Almond Stuffed Dates 8/3.5oz,100,TRUE,
unfi_east,vendor_item,321635,12-300-1,UNFI,K&L Sweet Nests - Pistachio & Date 8/3.5oz,100,TRUE,
unfi_east,vendor_item,321637,12-300-2,UNFI,K&L Sweet Nests - Almond & Dark Chocolate 8/3.5oz,100,TRUE,
unfi_east,vendor_item,321636,12-300-3,UNFI,K&L Sweet Nests - Cashew & Date 8/3.5oz,100,TRUE,
unfi_east,vendor_item,315881,12-600-1,UNFI,K&L Shipper - 85% Dark Choc Almond Stuffed Dates 54/3.5oz,100,TRUE,
unfi_east,vendor_item,315882,12-600-3,UNFI,K&L Shipper - Assorted (3 Variety) Choc covered Almond stuffed Dates 54/3.5oz,100,TRUE,
unfi_east,vendor_item,249326,13-001-10,UNFI,K&L Lingonberry Preserves 6/12.3oz,100,TRUE,
unfi_east,vendor_item,253825,13-001-3,UNFI,K&L Apricot Preserves 6/12.3oz,100,TRUE,
unfi_east,vendor_item,253824,13-001-4,UNFI,K&L Sour Cherry Preserves 6/12.3oz,100,TRUE,
unfi_east,vendor_item,249325,13-001-9,UNFI,K&L Fig Preserves 6/12.3oz,100,TRUE,
unfi_east,vendor_item,268055,13-003-1,UNFI,K&L Strawberry & Honey Sweetened Preserves 6/12.3oz,100,TRUE,
unfi_east,vendor_item,268057,13-003-3,UNFI,K&L Apricot & Honey Sweetened Preserves 6/12.3oz,100,TRUE,
unfi_east,vendor_item,268058,13-003-4,UNFI,K&L Fig & Honey Sweetened Preserves 6/12.3oz,100,TRUE,
unfi_east,vendor_item,268059,13-003-5,UNFI,K&L Sour Cherry & Honey Sweetened Preserve 6/12.3oz,100,TRUE,
unfi_east,vendor_item,131459,17-001-1,UNFI,C&A Basil Genovese Pesto Sauce 6/7.9oz,100,TRUE,
unfi_east,vendor_item,131460,17-001-2,UNFI,C&A Artichoke Lemon Pesto Sauce 6/7.9oz,100,TRUE,
unfi_east,vendor_item,131461,17-001-4,UNFI,C&A Sun-Dried Tomato Pesto 6/7.9oz,100,TRUE,
unfi_east,vendor_item,268473,17-001-5,UNFI,C&A Vegan Nut Free Basil Pesto Sauce 6/7.9oz,100,TRUE,
unfi_east,vendor_item,131473,17-003-1,UNFI,C&A Tomato W/Basil Pasta Sauce 6/16.8oz,100,TRUE,
unfi_east,vendor_item,131471,17-003-2,UNFI,C&A Puttanesca Pasta Sauce 6/16.8oz,100,TRUE,
unfi_east,vendor_item,131474,17-003-3,UNFI,C&A Arrabbiata Pasta Sauce 6/16.8oz,100,TRUE,
unfi_east,vendor_item,131472,17-003-4,UNFI,C&A Tomato W/Cheese Pasta Sauce 6/16.8oz,100,TRUE,
unfi_east,vendor_item,142630,17-041-1,UNFI,C&A Artichoke Bruschetta 6/7.9oz,100,TRUE,
unfi_east,vendor_item,142632,17-041-2,UNFI,C&A Red Pepper & Artichoke Bruschetta 6/7.9oz,100,TRUE,
unfi_east,vendor_item,142633,17-041-6,UNFI,C&A Olive Bruschetta 6/7.9oz,100,TRUE,
unfi_east,vendor_item,142629,17-041-7,UNFI,C&A Sun-Dried Tomato Bruschetta 6/7.9oz,100,TRUE,
unfi_east,vendor_item,131464,17-051-1,UNFI,C&A Marin. Qrtd Artichokes 6/14.5oz,100,TRUE,
unfi_east,vendor_item,131465,17-051-2,UNFI,C&A Grilled Marin. Whole Artichokes 6/14.5oz,100,TRUE,
unfi_east,vendor_item,131466,17-051-3,UNFI,C&A Whole Artichokes In Brine 6/14.5oz,100,TRUE,
