UPC,UNFI East ,Description,Xoro Item#,Xoro Description
0072811909844,131459,"PESTO,GENOVESE           ",17-001-1,C&A Basil Genovese Pesto Sauce 6/7.9oz
0072811909846,131460,"PESTO,ARTICHOKE          ",17-001-2,C&A Artichoke Lemon Pesto Sauce 6/7.9oz
0072811909849,131461,"PESTO,SUNDRIED TOMATO    ",17-001-4,C&A Sun-Dried Tomato Pesto 6/7.9oz
0072811909863,142629,C AMORE SNDRD TOM BRSHTA ,17-041-7,C&A Sun-Dried Tomato Bruschetta 6/7.9oz
0072811909868,142630,"BRUSCHETTA,ARTICHOKE     ",17-041-1,C&A Artichoke Bruschetta 6/7.9oz
0072811909882,142632,"BRUSCHETTA,PIQL&ARTICHOKE",17-041-2,C&A Red Pepper & Artichoke Bruschetta 6/7.9oz
0072811909883,142633,"BRUSCHETTA,BLACK OLIVE   ",17-041-6,C&A Olive Bruschetta 6/7.9oz
0072811909890,131464,"ARTICHOKE QRTRS,MARINATE ",17-051-1,C&A Marin. Qrtd Artichokes 6/14.5oz
0072811909891,131465,"ARTICHOKES,WHL,MARINATED ",17-051-2,C&A Grilled Marin. Whole Artichokes 6/14.5oz
0072811909892,131466,"ARTICHOKES,WHL,IN BRINE  ",17-051-3,C&A Whole Artichokes In Brine 6/14.5oz
0072811909948,131470,"VINEGAR,BALSAMIC         ",3-047,C&A Balsamic Vinegar Igp 6/16.9oz
0072811919870,131471,"PASTA SCE,PATTANESCA     ",17-003-2,C&A Puttanesca Pasta Sauce 6/16.8oz
0072811919871,131472,"PASTA SCE,FORMAGGIO      ",17-003-4,C&A Tomato W/Cheese Pasta Sauce 6/16.8oz
0072811919872,131473,"PASTA SCE,TOM W/BASIL    ",17-003-1,C&A Tomato W/Basil Pasta Sauce 6/16.8oz
0072811919873,131474,"PASTA SCE,ARRABBIATA     ",17-003-3,C&A Arrabbiata Pasta Sauce 6/16.8oz
0072811940000,156227,"QUINOA MEAL,ARTCHK&PEPPER",8-200-1,K&L Quinoa RTE Meal- Artichoke & Roasted Peppers 6/7.9oz
0072811940001,156228,"QUINOA MEAL,JALPN&PEPPERS",8-200-2,K&L Quinoa RTE Meal- Spicy Jalapeno & Roasted Peppers 6/7.9oz
0072811940002,156229,"QUINOA MEAL,MANGO&JAL&PEP",8-200-3,K&L Quinoa RTE Meal-Mango & Roasted Peppers 6/7.9oz
0072811940003,156230,"QUINOA MEAL,BASIL PESTO  ",8-200-4,K&L Quinoa RTE Meal- Basil Pesto 6/7.9oz
0072811943003,178222,"BEANS,FARRO              ",8-100-4,C&A Farro 8/17.6oz
0072811943005,178224,"RICE,ABORIO              ",8-100-6,C&A Arborio Rice 8/17.6oz
0072811944102,214028,GRAPESEED OIL            ,3-005,C&A Grape Seed Oil 6/25.3oz
0072811945000,211975,"PASTA,OG2,PENNE RIGATE   ",7-210-71,C&A Organic Penne Rigate #71 12/16oz
0072811945002,211972,"PASTA,OG2,CASAREECE      ",7-210-50,C&A Organic Casarecce #50 12/16oz
0072811945003,211974,"PASTA,OG2,FUSILLI        ",7-210-66,C&A Organic Fusilli #66 12/16oz
0072811945004,211968,"PASTA,OG2,FARFALLE       ",7-210-22,C&A Organic Farfalle #22 12/16oz
0072811947000,244189,"WAFER,ROLLS,HAZELNUT     ",12-002-1,C&A Hazelnut Rolled Wafer 6/14.1oz
0072811947002,244191,"WAFER,ROLLS,LEMON        ",12-002-3,C&A Lemon Rolled Wafer 6/14.1oz
0072811947003,244192,"WAFER,ROLLS,VANILLA      ",12-002-4,C&A Vanilla Rolled Wafer 6/14.1oz
0072811947200,210791,"FARRO,GRILLED VEGTBLS,HRB",8-400-1,K&L Farro RTE Meal- Grilled Vegetables 6/7.9oz
0072811947202,210793,"FARRO,ARTICHOKE,LMN,GARLC",8-400-3,"K&L Farro RTE Meal- Artichoke, Lemon & Garlic 6/7.9oz"
0072811947432,253825,"PRESERVES,APRICOT        ",13-001-3,K&L Apricot Preserves 6/12.3oz
0072811947433,249325,"PRESERVES,FIG            ",13-001-9,K&L Fig Preserves 6/12.3oz
0072811947436,253824,"PRESERVES,SOUR CHERRY    ",13-001-4,K&L Sour Cherry Preserves 6/12.3oz
0072811947439,249326,"PRESERVES,LINGONBERRY    ",13-001-10,K&L Lingonberry Preserves 6/12.3oz
0072811947450,268055,"PRSRVS,STRWBRY,HONEY     ",13-003-1,K&L Strawberry & Honey Sweetened Preserves 6/12.3oz
0072811947452,268057,"PRSRVS,APRICOT,HONEY     ",13-003-3,K&L Apricot & Honey Sweetened Preserves 6/12.3oz
0072811947453,268058,"PRSRVS,FIG,HONEY         ",13-003-4,K&L Fig & Honey Sweetened Preserves 6/12.3oz
0072811947455,268059,"PRSRVS,SOUR CHRRY,HONEY  ",13-003-5,K&L Sour Cherry & Honey Sweetened Preserve 6/12.3oz
0072811947600,227709,"MEAL,CAULIFLOWER PERU VEG",8-600-1,K&L Cauliflower RTE Meal- Peruvian Veg Ceviche 6/7.9oz
0072811947761,241212,"DSP,FARRO QUICK MEALS    ",8-440,K&L Farro RTE Meal Shipper 48/7.9oz
0072811947762,241211,"DSP,QUINOA QUICK MEALS   ",8-220,K&L Quinoa RTE Meal Shipper 48/7.9oz
0072811948000,284950,"ARTICHOKE HEART,MARINATED",17-300,K&L Marin. Qrtd Artichoke 6/11oz
0072811948001,284951,"ATRICHK,WHL GRLLD,MRNTD  ",17-301,K&L Whole Grilled Artichoke 6/11oz
0072811951501,284676,"ALM STUFFED DATES,DK CHOC",12-006-1,K&L Dark Choc Almond Stuffed Dates 8/3.5oz
0072811951506,301111,"DATES,ALMD STFD,MLK CHOC ",12-006-2,K&L Milk Choc Almond Stuffed Dates 8/3.5oz
0072811951507,301112,"DATES,ALMD STFD,ASST CHOC",12-006-3,K&L Assorted (Milk/Dark/White) Choc Almond Stuffed Dates 8/3.5oz
0072811951531,268061,"RICE,GLDN VEG,RDY TO HEAT",8-902,K&L RTH Golden Vegetable Rice 6/8oz
0072811951534,268064,"QUINOA MEDLEY,VEG,RTH    ",8-905,K&L RTH Vegetable Quinoa Medley 6/8oz
0072811951535,268065,"TABBOULEH & QUINOA,RTH   ",8-906,K&L RTE Tabbouleh Quinoa Medley 6/8oz
0072811951536,268066,"RICE,CAULIFLOWER,RTH     ",8-907,K&L RTE Riced Cauliflower 6/8oz
0072811951540,268473,"PESTO,BASIL,VEGN&NUT FREE",17-001-5,C&A Vegan Nut Free Basil Pesto Sauce 6/7.9oz
0072811951541,321637,"SWT NESTS,ALMOND & CHOC  ",12-300-2,K&L Sweet Nests - Almond & Dark Chocolate 8/3.5oz
0072811951542,321636,SWT NESTS CASHEW DATES   ,12-300-3,K&L Sweet Nests - Cashew & Date 8/3.5oz
