UPC,UNFI West,Description,Xoro ItemNumber,Xoro Description,Raw Item Number,Mapped Item Number
0072811904200,87851,CAM ARTICK QTR BRINE,17-061-1,C&A Qtrd Artichokes In Brine 6/14oz (Can),,
0072811904600,30393,K LOVE PS EVRTHG FLTBRD,12-042,K&L Passport Flatbread- Everything 6/13.3oz,,
0072811906200,87852,CAM ARTICK WHL BRINE,17-061-2,C&A Whole Artichokes In Brine 6/14oz (Can),,
0072811909800,25674,CAM GNOCCHI POTATO,7-006,C&A Potato Gnocchi 10/14.1oz,,
0072811909844,05882 ,CAM GENOVESE PESTO,17-001-1,C&A Basil Genovese Pesto Sauce 6/7.9oz,,
0072811909846,05883 ,CAM ARTICHOKE PESTO,17-001-2,C&A Artichoke Lemon Pesto Sauce 6/7.9oz,,
0072811909849,23047,CAM SUNDRD TOM PESTO,17-001-4,C&A Sun-Dried Tomato Pesto 6/7.9oz,,
0072811909863,23041,CAM SNDRD TOM BRSHTA,17-041-7,C&A Sun-Dried Tomato Bruschetta 6/7.9oz,,
0072811909868,05885 ,CAM ARTICHOKE BRSHTA,17-041-1,C&A Artichoke Bruschetta 6/7.9oz,,
0072811909882,05884 ,CAM POQIULLA BRSHTA,17-041-2,C&A Red Pepper & Artichoke Bruschetta 6/7.9oz,,
0072811909890,23001,CAM ARTICK QTR MRNTD,17-051-1,C&A Marin. Qrtd Artichokes 6/14.5oz,,
0072811909891,23002,CAM ARTICK WHL MRNTD,17-051-2,C&A Grilled Marin. Whole Artichokes 6/14.5oz,,
0072811909892,23015,CAM ARTICK WHL BRINE,17-051-3,C&A Whole Artichokes In Brine 6/14.5oz,,
0072811909946,81701,CAM BALS VNGR HIGH D,3-021,C&A Balsamic Vinegar- High Density 6/8.5oz,,
0072811909948,81702,CAM BALS VNGR PREM,3-047,C&A Balsamic Vinegar Igp 6/16.9oz,,
0072811919870,23055,CAM PUTTANESCA SCE,17-003-2,C&A Puttanesca Pasta Sauce 6/16.8oz,,
0072811919871,23061,CAM FORMAGGIO SCE,17-003-4,C&A Tomato W/Cheese Pasta Sauce 6/16.8oz,,
0072811919872,23048,CAM TOM BSL PSTA SCE,17-003-1,C&A Tomato W/Basil Pasta Sauce 6/16.8oz,,
0072811919873,23057,CAM ARRABIATTA SCE,17-003-3,C&A Arrabbiata Pasta Sauce 6/16.8oz,,
0072811920000,81706,CAM EVOO FRUTTATO,3-075-2,C&A Fruttato Extra Virgin Olive Oil 6/25.3oz,,
0072811920002,81709,CAM EVOO ROBUSTO,3-076-2,C&A Robusto Extra Virgin Olive Oil 6/25.3oz,,
0072811940000,65635,K LOVE QUIN ML ART/PPR ,8-200-1,K&L Quinoa RTE Meal- Artichoke & Roasted Peppers 6/7.9oz,,
0072811940001,65636,K LOVE QUIN ML JALP&PPR ,8-200-2,K&L Quinoa RTE Meal- Spicy Jalapeno & Roasted Peppers 6/7.9oz,,
0072811940002,65637,K LOVE QUIN ML MNGO&JAL ,8-200-3,K&L Quinoa RTE Meal-Mango & Roasted Peppers 6/7.9oz,,
0072811940003,65639,K LOVE QUIN ML BSL&PSTO ,8-200-4,K&L Quinoa RTE Meal- Basil Pesto 6/7.9oz,,
0072811943005,21194,CAM ARBRIO SPRFNO RC,8-100-6,C&A Arborio Rice 8/17.6oz,,
0072811945000,63887,OG2 CAM PENNE RIGATE,7-210-71,C&A Organic Penne Rigate #71 12/16oz,,
0072811945001,20351,OG2 CAM ELBOW PASTA,7-210-42,C&A Organic Elbows #42 12/16oz,,
0072811945002,63885,OG2 CAM CASAREECE,7-210-50,C&A Organic Casarecce #50 12/16oz,,
0072811945003,63886,OG2 CAM FUSILLI PSTA,7-210-66,C&A Organic Fusilli #66 12/16oz,,
0072811945004,63869,OG2 CAM FARFELLE,7-210-22,C&A Organic Farfalle #22 12/16oz,,
0072811945005,63889,OG2 CAM SPAGHETTI,7-210-82,C&A Organic Spaghetti #82 20/16oz,,
0072811945006,63890,OG2 CAM LINGUINE,7-210-91,C&A Organic Linguine #91 20/16oz,,
0072811947001,88935,CAM CHOC WAFER ROLLS,12-002-2,C&A Chocolate Rolled Wafer 6/14.1oz,,
0072811947003,88937,CAM VANILLA WFR ROLL,12-002-4,C&A Vanilla Rolled Wafer 6/14.1oz,,
0072811947200,86512,K LOVE GRILLED VEGTBLS ,8-400-1,K&L Farro RTE Meal- Grilled Vegetables 6/7.9oz,,
