Source,RawCustomerID,MappedCustomerName,CustomerType,Priority,Active,Notes
wholefoods,10005,WHOLE FOODS #10005 PALO ALTO,store,100,TRUE,
wholefoods,10006,WHOLE FOODS #10006 TELEGRAPH,store,100,TRUE,
wholefoods,10009,WHOLE FOODS #10009 MILLER,store,100,TRUE,
wholefoods,10027,WHOLE FOODS #10027 LOS GATOS,store,100,TRUE,
wholefoods,10033,WHOLE FOODS #10033 CAMPBELL,store,100,TRUE,
wholefoods,10044,WHOLE FOODS #10044 SF CALI ST,store,100,TRUE,
wholefoods,10071,WHOLE FOODS #10071 SAN RAFAEL,store,100,TRUE,
wholefoods,10087,WHOLE FOODS #10087 MONTEREY,store,100,TRUE,
wholefoods,10101,WHOLE FOODS #10101 WALNUT CREEK,store,100,TRUE,
wholefoods,10122,WHOLE FOODS #10122 FRESNO,store,100,TRUE,
wholefoods,10126,WHOLE FOODS #10126 SAN RAMON,store,100,TRUE,
wholefoods,10137,WHOLE FOODS #10137 SEBASTOPOL,store,100,TRUE,
wholefoods,10138,WHOLE FOODS #10138 PETALUMA,store,100,TRUE,
wholefoods,10139,WHOLE FOODS #10139 YULUPA,store,100,TRUE,
wholefoods,10150,WHOLE FOODS #10150 SAN MATEO,store,100,TRUE,
wholefoods,10151,WHOLE FOODS #10151 SF 4TH ST,store,100,TRUE,
wholefoods,10152,WHOLE FOODS #10152 SACRAMENTO,store,100,TRUE,
wholefoods,10154,WHOLE FOODS #10154 REDWOOD CITY,store,100,TRUE,
wholefoods,10155,WHOLE FOODS #10155 LOS ALTOS,store,100,TRUE,
wholefoods,10221,WHOLE FOODS #10221 HARRISON,store,100,TRUE,
wholefoods,10230,WHOLE FOODS #10230 ROSEVILLE,store,100,TRUE,
wholefoods,10234,WHOLE FOODS #10234 NOVATO,store,100,TRUE,
wholefoods,10238,WHOLE FOODS #10238 SF RHODE,store,100,TRUE,
wholefoods,10259,WHOLE FOODS #10259 SAN JOSE,store,100,TRUE,
wholefoods,10267,WHOLE FOODS #10267 CUPERTINO,store,100,TRUE,
wholefoods,10281,WHOLE FOODS #10281 SONOMA,store,100,TRUE,
wholefoods,10284,WHOLE FOODS #10284 BOISE,store,100,TRUE,
wholefoods,10288,WHOLE FOODS #10288 NAPA,store,100,TRUE,
wholefoods,10293,WHOLE FOODS #10293 RENO,store,100,TRUE,
wholefoods,10320,WHOLE FOODS #10320 SAN JOSE,store,100,TRUE,
wholefoods,10329,WHOLE FOODS #10329 SANTA CRUZ,store,100,TRUE,
wholefoods,10337,WHOLE FOODS #10337 BLITHEDALE,store,100,TRUE,
wholefoods,10349,WHOLE FOODS #10349 LAFAYETTE,store,100,TRUE,
wholefoods,10362,WHOLE FOODS #10362 SF STANYON,store,100,TRUE,
wholefoods,10365,WHOLE FOODS #10365 CAPITOLA,store,100,TRUE,
wholefoods,10370,WHOLE FOODS #10370 CODDINGTOWN,store,100,TRUE,
wholefoods,10379,WHOLE FOODS #10379 SF 24TH ST,store,100,TRUE,
wholefoods,10396,WHOLE FOODS #10396 CASTRO,store,100,TRUE,
wholefoods,10432,WHOLE FOODS #10432 SF OCEAN,store,100,TRUE,
wholefoods,10447,WHOLE FOODS #10447 FOLSOM,store,100,TRUE,
wholefoods,10467,WHOLE FOODS #10467 FREMONT,store,100,TRUE,
wholefoods,10530,WHOLE FOODS #10530 GILMAN ST,store,100,TRUE,
wholefoods,10547,WHOLE FOODS #10547 DUBLIN,store,100,TRUE,
wholefoods,10548,WHOLE FOODS #10548 YVR,store,100,TRUE,
wholefoods,10633,WHOLE FOODS #10633 SANTA CLARA,store,100,TRUE,
wholefoods,10677,WHOLE FOODS #10677 CONCORD,store,100,TRUE,
wholefoods,10703,WHOLE FOODS #10703 TAHOE,store,100,TRUE,
wholefoods,10707,WHOLE FOODS #10707 SUNNYVALE,store,100,TRUE,
wholefoods,10708,WHOLE FOODS #10708 TEMESCAL,store,100,TRUE,
wholefoods,10717,WHOLE FOODS #10717 STONESTOWN,store,100,TRUE,
wholefoods,10718,WHOLE FOODS #10718 TRINITY,store,100,TRUE,
