Source,RawKeyType,RawKeyValue,MappedItemNumber,Vendor,MappedDescription,Priority,Active,Notes
wholefoods,vendor_item,12-046-2,12-046-2,wholefoods,Loacker Quadratini- Chocolate 6/8.82oz,100,TRUE,
wholefoods,vendor_item,12 046 3,12-046-3,wholefoods,Loacker Quadratini- Hazelnut 6/8.82oz,100,TRUE,
wholefoods,vendor_item,130251,13-025-1,wholefoods,Bonne Maman Cherry Preserve 6/13oz,100,TRUE,
wholefoods,vendor_item,13 025 126,13-025-126,wholefoods,Bonne Maman Strawberry Preserve Value Size 6/26oz,100,TRUE,
wholefoods,vendor_item,1302514,13-025-14,wholefoods,Bonne Maman Fig Preserve 6/13oz,100,TRUE,
wholefoods,vendor_item,1302515,13-025-15,wholefoods,Bonne Maman Mixed Berries Preserve 6/13oz,100,TRUE,
wholefoods,vendor_item,1302517,13-025-17,wholefoods,Bonne Maman Apricot-Raspberry Preserve 6/13oz,100,TRUE,
wholefoods,vendor_item,130252,13-025-2,wholefoods,Bonne Maman Strawberry Preserve 6/13oz,100,TRUE,
wholefoods,vendor_item,1302520,13-025-20,wholefoods,Bonne Maman Lemon Curd 6/12.7oz,100,TRUE,
wholefoods,vendor_item,13 025 24,13-025-24,wholefoods,Bonne Maman Pineapple Passionfruit 6/13oz,100,TRUE,
wholefoods,vendor_item,13-025-25,13-025-25,wholefoods,Bonne Maman Concord Grape 6/12.7oz,100,TRUE,
wholefoods,vendor_item,13-025-26,13-025-26,wholefoods,Bonne Maman Peanut Butter Chocolate Spread 6/12.3oz,100,TRUE,
wholefoods,vendor_item,71094,13-025-23,wholefoods,Bonne Maman Cranberry Cherry 6/13oz,100,TRUE,Primary mapping
wholefoods,vendor_item,130253,13-025-3,wholefoods,Bonne Maman Apricot Preserve 6/13oz,100,TRUE,
wholefoods,vendor_item,130254,13-025-4,wholefoods,Bonne Maman Peach Preserve 6/13oz,100,TRUE,
wholefoods,vendor_item,130255,13-025-5,wholefoods,Bonne Maman Orange Marmalade 6/13oz,100,TRUE,
wholefoods,vendor_item,130256,13-025-6,wholefoods,Bonne Maman Raspberry Preserve 6/13oz,100,TRUE,
wholefoods,vendor_item,130257,13-025-7,wholefoods,Bonne Maman Wild Blueberry Preserve 6/13oz,100,TRUE,
wholefoods,vendor_item,130258,13-025-8,wholefoods,Bonne Maman Four Fruits Preserve 6/13oz,100,TRUE,
wholefoods,vendor_item,130259,13-025-9,wholefoods,Bonne Maman Blackberry Preserve 6/13oz,100,TRUE,
wholefoods,vendor_item,13-027-1,13-027-1,wholefoods,Bonne Maman More Fruit- Apricot 6/11.8oz,100,TRUE,
wholefoods,vendor_item,13-027-2,13-027-2,wholefoods,Bonne Maman More Fruit- Strawberry 6/11.8oz,100,TRUE,
wholefoods,vendor_item,13-027-3,13-027-3,wholefoods,Bonne Maman More Fruit- Cherry 6/11.8oz,100,TRUE,
wholefoods,vendor_item,13-027-4,13-027-4,wholefoods,Bonne Maman More Fruit- Red Fruit 6/11.8oz,100,TRUE,
wholefoods,vendor_item,170411,17-041-1,wholefoods,C&A Artichoke Bruschetta 6/7.9oz,100,TRUE,
wholefoods,vendor_item,170417,17-041-7,wholefoods,C&A Sun-Dried Tomato Bruschetta 6/7.9oz,100,TRUE,
wholefoods,vendor_item,170512,17-051-2,wholefoods,C&A Grilled Marin. Whole Artichokes 6/14.5oz,100,TRUE,
wholefoods,vendor_item,6016,6-016,wholefoods,Roland Flat Anchovies In Olive Oil 25/2oz,100,TRUE,
wholefoods,vendor_item,90311,9-031-1,wholefoods,Carlo Orange Water 12/12.7oz,100,TRUE,
wholefoods,vendor_item,90881,9-088-1,wholefoods,Carlo Rose Water 12/12.7oz,100,TRUE,
