Source,RawKeyType,RawKeyValue,MappedItemNumber,Vendor,MappedDescription,Priority,Active,Notes
wholefoods,vendor_item,71094,13-025-23,Whole Foods,Whole Foods Item 13-025-23,100,True,Migrated from CSV
wholefoods,vendor_item,12-046-2,12-046-2,Whole Foods,Whole Foods Item 12-046-2,100,True,Migrated from CSV
wholefoods,vendor_item,12 046 3,12-046-3,Whole Foods,Whole Foods Item 12-046-3,100,True,Migrated from CSV
wholefoods,vendor_item,130251,13-025-1,Whole Foods,Whole Foods Item 13-025-1,100,True,Migrated from CSV
wholefoods,vendor_item,13 025 126,13-025-126,Whole Foods,Whole Foods Item 13-025-126,100,True,Migrated from CSV
wholefoods,vendor_item,1302514,13-025-14,Whole Foods,Whole Foods Item 13-025-14,100,True,Migrated from CSV
wholefoods,vendor_item,1302515,13-025-15,Whole Foods,Whole Foods Item 13-025-15,100,True,Migrated from CSV
wholefoods,vendor_item,1302517,13-025-17,Whole Foods,Whole Foods Item 13-025-17,100,True,Migrated from CSV
wholefoods,vendor_item,130252,13-025-2,Whole Foods,Whole Foods Item 13-025-2,100,True,Migrated from CSV
wholefoods,vendor_item,1302520,13-025-20,Whole Foods,Whole Foods Item 13-025-20,100,True,Migrated from CSV
wholefoods,vendor_item,13 025 24,13-025-24,Whole Foods,Whole Foods Item 13-025-24,100,True,Migrated from CSV
wholefoods,vendor_item,13-025-25,13-025-25,Whole Foods,Whole Foods Item 13-025-25,100,True,Migrated from CSV
wholefoods,vendor_item,13-025-26,13-025-26,Whole Foods,Whole Foods Item 13-025-26,100,True,Migrated from CSV
wholefoods,vendor_item,130253,13-025-3,Whole Foods,Whole Foods Item 13-025-3,100,True,Migrated from CSV
wholefoods,vendor_item,130254,13-025-4,Whole Foods,Whole Foods Item 13-025-4,100,True,Migrated from CSV
wholefoods,vendor_item,130255,13-025-5,Whole Foods,Whole Foods Item 13-025-5,100,True,Migrated from CSV
wholefoods,vendor_item,130256,13-025-6,Whole Foods,Whole Foods Item 13-025-6,100,True,Migrated from CSV
wholefoods,vendor_item,130257,13-025-7,Whole Foods,Whole Foods Item 13-025-7,100,True,Migrated from CSV
wholefoods,vendor_item,130258,13-025-8,Whole Foods,Whole Foods Item 13-025-8,100,True,Migrated from CSV
wholefoods,vendor_item,130259,13-025-9,Whole Foods,Whole Foods Item 13-025-9,100,True,Migrated from CSV
wholefoods,vendor_item,13-027-1,13-027-1,Whole Foods,Whole Foods Item 13-027-1,100,True,Migrated from CSV
wholefoods,vendor_item,13-027-2,13-027-2,Whole Foods,Whole Foods Item 13-027-2,100,True,Migrated from CSV
wholefoods,vendor_item,13-027-3,13-027-3,Whole Foods,Whole Foods Item 13-027-3,100,True,Migrated from CSV
wholefoods,vendor_item,13-027-4,13-027-4,Whole Foods,Whole Foods Item 13-027-4,100,True,Migrated from CSV
wholefoods,vendor_item,170411,17-041-1,Whole Foods,Whole Foods Item 17-041-1,100,True,Migrated from CSV
wholefoods,vendor_item,170417,17-041-7,Whole Foods,Whole Foods Item 17-041-7,100,True,Migrated from CSV
wholefoods,vendor_item,170512,17-051-2,Whole Foods,Whole Foods Item 17-051-2,100,True,Migrated from CSV
wholefoods,vendor_item,6016,6-016,Whole Foods,Whole Foods Item 6-016,100,True,Migrated from CSV
wholefoods,vendor_item,90311,9-031-1,Whole Foods,Whole Foods Item 9-031-1,100,True,Migrated from CSV
wholefoods,vendor_item,90881,9-088-1,Whole Foods,Whole Foods Item 9-088-1,100,True,Migrated from CSV
