Source,RawStoreID,MappedStoreName,StoreType,Priority,Active,Notes
wholefoods,WHOLE FOODS #10005 PALO ALTO,WHOLE FOODS #10005 PALO ALTO,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10006 TELEGRAPH,WHOLE FOODS #10006 TELEGRAPH,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10009 MILLER,WHOLE FOODS #10009 MILLER,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10027 LOS GATOS,WHOLE FOODS #10027 LOS GATOS,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10033 CAMPBELL,WHOLE FOODS #10033 CAMPBELL,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10044 SF CALI ST,WHOLE FOODS #10044 SF CALI ST,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10071 SAN RAFAEL,WHOLE FOODS #10071 SAN RAFAEL,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10087 MONTEREY,WHOLE FOODS #10087 MONTEREY,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10101 WALNUT CREEK,WHOLE FOODS #10101 WALNUT CREEK,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10122 FRESNO,WHOLE FOODS #10122 FRESNO,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10126 SAN RAMON,WHOLE FOODS #10126 SAN RAMON,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10137 SEBASTOPOL,WHOLE FOODS #10137 SEBASTOPOL,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10138 PETALUMA,WHOLE FOODS #10138 PETALUMA,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10139 YULUPA,WHOLE FOODS #10139 YULUPA,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10150 SAN MATEO,WHOLE FOODS #10150 SAN MATEO,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10151 SF 4TH ST,WHOLE FOODS #10151 SF 4TH ST,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10152 SACRAMENTO,WHOLE FOODS #10152 SACRAMENTO,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10154 REDWOOD CITY,WHOLE FOODS #10154 REDWOOD CITY,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10155 LOS ALTOS,WHOLE FOODS #10155 LOS ALTOS,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10221 HARRISON,WHOLE FOODS #10221 HARRISON,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10230 ROSEVILLE,WHOLE FOODS #10230 ROSEVILLE,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10234 NOVATO,WHOLE FOODS #10234 NOVATO,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10238 SF RHODE,WHOLE FOODS #10238 SF RHODE,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10259 SAN JOSE,WHOLE FOODS #10259 SAN JOSE,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10267 CUPERTINO,WHOLE FOODS #10267 CUPERTINO,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10281 SONOMA,WHOLE FOODS #10281 SONOMA,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10284 BOISE,WHOLE FOODS #10284 BOISE,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10288 NAPA,WHOLE FOODS #10288 NAPA,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10293 RENO,WHOLE FOODS #10293 RENO,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10320 SAN JOSE,WHOLE FOODS #10320 SAN JOSE,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10329 SANTA CRUZ,WHOLE FOODS #10329 SANTA CRUZ,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10337 BLITHEDALE,WHOLE FOODS #10337 BLITHEDALE,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10349 LAFAYETTE,WHOLE FOODS #10349 LAFAYETTE,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10362 SF STANYON,WHOLE FOODS #10362 SF STANYON,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10365 CAPITOLA,WHOLE FOODS #10365 CAPITOLA,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10370 CODDINGTOWN,WHOLE FOODS #10370 CODDINGTOWN,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10379 SF 24TH ST,WHOLE FOODS #10379 SF 24TH ST,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10396 CASTRO,WHOLE FOODS #10396 CASTRO,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10432 SF OCEAN,WHOLE FOODS #10432 SF OCEAN,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10447 FOLSOM,WHOLE FOODS #10447 FOLSOM,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10467 FREMONT,WHOLE FOODS #10467 FREMONT,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10530 GILMAN ST,WHOLE FOODS #10530 GILMAN ST,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10547 DUBLIN,WHOLE FOODS #10547 DUBLIN,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10548 YVR,WHOLE FOODS #10548 YVR,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10633 SANTA CLARA,WHOLE FOODS #10633 SANTA CLARA,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10677 CONCORD,WHOLE FOODS #10677 CONCORD,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10703 TAHOE,WHOLE FOODS #10703 TAHOE,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10707 SUNNYVALE,WHOLE FOODS #10707 SUNNYVALE,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10708 TEMESCAL,WHOLE FOODS #10708 TEMESCAL,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10717 STONESTOWN,WHOLE FOODS #10717 STONESTOWN,retail,100,True,Migrated from CSV
wholefoods,WHOLE FOODS #10718 TRINITY,WHOLE FOODS #10718 TRINITY,retail,100,True,Migrated from CSV
wholefoods,10005,IDI - Richmond,retail,100,True,
wholefoods,10006,IDI - Richmond,retail,100,True,
wholefoods,10009,IDI - Richmond,retail,100,True,
wholefoods,10027,IDI - Richmond,retail,100,True,
wholefoods,10033,IDI - Richmond,retail,100,True,
wholefoods,10044,IDI - Richmond,retail,100,True,
wholefoods,10071,IDI - Richmond,retail,100,True,
wholefoods,10087,IDI - Richmond,retail,100,True,
wholefoods,10101,IDI - Richmond,retail,100,True,
wholefoods,10122,IDI - Richmond,retail,100,True,
wholefoods,10126,IDI - Richmond,retail,100,True,
wholefoods,10137,IDI - Richmond,retail,100,True,
wholefoods,10138,IDI - Richmond,retail,100,True,
wholefoods,10139,IDI - Richmond,retail,100,True,
wholefoods,10150,IDI - Richmond,retail,100,True,
wholefoods,10151,IDI - Richmond,retail,100,True,
wholefoods,10152,IDI - Richmond,retail,100,True,
wholefoods,10154,IDI - Richmond,retail,100,True,
wholefoods,10155,IDI - Richmond,retail,100,True,
wholefoods,10221,IDI - Richmond,retail,100,True,
wholefoods,10230,IDI - Richmond,retail,100,True,
wholefoods,10234,IDI - Richmond,retail,100,True,
